,Time_[s],Acceleration[g]
0,0,0.004883
1,1,0.004395
2,1,0.004883
3,3,0.004395
4,4,0.004883
5,5,0.004883
6,6,0.004883
7,7,0.005371
8,8,0.004883
9,9,0.004395
10,10,0.004395
11,11,0.004395
12,12,0.004883
13,13,0.005371
14,14,0.005371
15,15,0.004883
16,16,0.005371
17,17,0.004395
18,18,0.004883
19,19,0.004883
20,20,0.004883
21,21,0.004883
22,22,0.004395
23,23,0.004883
24,24,0.004883
25,25,0.004395
26,26,0.004883
27,27,0.004883
28,28,0.004883
29,29,0.004883
30,30,0.003906
31,31,0.004395
32,32,0.005371
33,33,0.004883
34,34,0.004395
35,35,0.004883
36,36,0.004395
37,37,0.005371
38,38,0.004883
39,39,0.005371
40,40,0.004883
41,41,0.004395
42,42,0.004883
43,43,0.005371
44,44,0.005371
45,45,0.005371
46,46,0.004395
47,47,0.004883
48,48,0.004395
49,49,0.004883
50,50,0.004883
51,51,0.004883
52,52,0.004883
53,53,0.004883
54,54,0.004395
55,55,0.004395
56,56,0.005371
57,57,0.004883
58,58,0.004883
59,59,0.004395
60,60,0.004395
61,61,0.004883
62,62,0.003906
63,64,0.005371
64,65,0.01416
65,66,0.018066
66,67,0.012207
67,68,0.006836
68,69,0.00293
69,70,0.006348
70,71,0.006836
71,72,-0.032715
72,73,0.008789
73,74,0.001953
74,75,0.004883
75,76,0.004883
76,77,0.004395
77,78,0.004883
78,79,0.004883
79,80,0.004395
80,81,0.004395
81,82,0.004883
82,83,0.004883
83,84,0.003906
84,85,0.004395
85,86,0.004395
86,87,0.004395
87,88,0.004883
88,89,0.005371
89,90,0.003906
90,91,0.004883
91,92,0.004883
92,93,0.004883
93,94,0.003906
94,95,0.004883
95,96,0.005371
96,97,0.004395
97,98,0.004395
98,99,0.004395
99,100,0.004883
