,Time_[s],Acceleration[g]
0,0,0.008301
1,0,0.007812
2,2,0.009766
3,3,0.007324
4,3,0.004883
5,5,0.004883
6,5,0.007812
7,7,0.007324
8,8,0.006836
9,9,0.006348
10,10,0.008789
11,11,0.008301
12,12,0.007812
13,13,0.008789
14,14,0.007812
15,15,0.008301
16,16,0.008301
17,17,0.007324
18,18,0.008301
19,19,0.007324
20,20,0.008301
21,21,0.008301
22,22,0.007812
23,23,0.008301
24,24,0.008301
25,25,0.008301
26,26,0.007324
27,27,0.008301
28,28,0.008301
29,29,0.007812
30,30,0.007812
31,31,0.010254
32,32,0.007812
33,33,0.008789
34,34,0.008789
35,35,0.005859
36,36,0.009277
37,37,0.009277
38,38,0.008301
39,39,0.007812
40,40,0.008301
41,41,0.008789
42,42,0.007812
43,43,0.007812
44,44,0.007812
45,45,0.008301
46,46,0.008301
47,47,0.008301
48,48,0.007812
49,49,0.007812
50,50,0.008301
51,51,0.008301
52,52,0.007812
53,53,0.008301
54,55,0.008789
55,55,0.009277
56,56,0.008301
57,57,0.007324
58,58,0.008301
59,59,0.007812
60,60,0.007812
61,62,0.008301
62,62,0.008301
63,64,0.008301
64,65,0.007812
65,66,0.008301
66,67,0.008301
67,68,0.007812
68,69,0.007324
69,70,0.008301
70,71,0.007324
71,72,0.007812
72,73,0.007812
73,74,0.008301
74,75,0.007812
75,76,0.008301
76,77,0.006836
77,78,0.007324
78,79,0.007812
79,80,0.007812
80,81,0.007812
81,82,0.007812
82,83,0.008301
83,84,0.007812
84,85,0.008301
85,86,0.008301
86,87,0.008301
87,88,0.007812
88,89,0.008301
89,90,0.007812
90,91,0.008301
91,92,0.007812
92,93,0.007812
93,94,0.008301
94,95,0.007812
95,96,0.008789
96,97,0.007324
97,98,0.007812
98,99,0.007812
99,100,0.008301
