,Time_[s],Acceleration[g]
0,0,-1.010254
1,1,-1.010254
2,1,-1.01123
3,2,-1.011719
4,3,-1.010742
5,5,-1.010742
6,6,-1.010742
7,7,-1.009766
8,8,-1.010254
9,8,-1.009766
10,10,-1.009766
11,11,-1.010742
12,12,-1.009277
13,13,-1.010742
14,14,-1.010742
15,15,-1.010742
16,16,-1.009766
17,17,-1.010254
18,18,-1.010254
19,19,-1.010742
20,20,-1.009766
21,21,-1.01123
22,22,-1.010254
23,23,-1.010254
24,24,-1.010254
25,25,-1.01123
26,26,-1.01123
27,27,-1.010254
28,28,-1.01123
29,29,-1.010742
30,30,-1.01123
31,31,-1.01123
32,32,-1.010742
33,33,-1.010742
34,34,-1.01123
35,35,-1.01123
36,36,-1.01123
37,37,-1.010742
38,38,-1.010742
39,39,-1.01123
40,40,-1.009766
41,41,-1.01123
42,42,-1.010254
43,43,-1.01123
44,44,-1.01123
45,45,-1.010742
46,47,-1.010254
47,47,-1.010254
48,48,-1.010254
49,49,-1.01123
50,50,-1.010254
51,51,-1.01123
52,52,-1.010742
53,53,-1.010742
54,54,-1.010742
55,55,-1.010742
56,56,-1.009277
57,57,-1.010742
58,58,-1.010742
59,59,-1.010254
60,60,-1.010742
61,61,-1.010742
62,62,-1.010254
63,64,-1.010742
64,65,-1.010254
65,66,-1.01123
66,67,-1.009766
67,68,-1.010742
68,69,-1.010742
69,70,-1.009277
70,71,-1.010254
71,72,-1.010254
72,73,-1.010254
73,74,-1.010254
74,75,-1.012207
75,76,-1.010254
76,77,-1.010742
77,78,-1.010254
78,79,-1.01123
79,80,-1.010254
80,81,-1.010254
81,82,-1.010742
82,83,-1.010254
83,84,-1.008789
84,85,-1.010254
85,86,-1.01123
86,87,-1.010742
87,88,-1.010254
88,89,-1.010742
89,90,-1.01123
90,91,-1.009766
91,92,-1.010742
92,93,-1.010742
93,94,-1.010254
94,95,-1.010254
95,96,-1.01123
96,97,-1.010254
97,98,-1.010254
98,99,-1.010742
99,100,-1.010742
