WARNING 2024-10-14 00:38:45,745 models excute select_network() not exist sensor_network matched topic:ICCMS/Test Location1/Test Location2/Test Device2/Test Device1/Test Sensor1/Register
DEBUG 2024-10-16 15:22:40,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:41,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:42,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:42,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:43,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:43,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:44,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:44,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:45,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:45,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:46,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:46,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:47,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:48,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:48,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:49,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:49,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:50,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:50,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:51,002 tasks excute check_plug()
DEBUG 2024-10-16 15:22:51,002 tasks excute check_plug()
DEBUG 2024-10-16 15:22:52,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:52,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:53,002 tasks excute check_plug()
DEBUG 2024-10-16 15:22:53,003 tasks excute check_plug()
DEBUG 2024-10-16 15:22:54,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:54,002 tasks excute check_plug()
DEBUG 2024-10-16 15:22:55,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:55,003 tasks excute check_plug()
DEBUG 2024-10-16 15:22:56,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:56,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:57,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:58,000 tasks excute check_plug()
DEBUG 2024-10-16 15:22:59,001 tasks excute check_plug()
DEBUG 2024-10-16 15:22:59,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:00,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:01,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:02,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:02,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:03,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:03,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:04,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:04,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:05,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:05,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:06,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:07,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:07,004 tasks excute check_plug()
DEBUG 2024-10-16 15:23:08,010 tasks excute check_plug()
DEBUG 2024-10-16 15:23:09,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:09,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:10,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:10,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:11,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:11,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:21,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:21,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:22,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:22,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:23,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:23,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:24,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:24,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:25,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:25,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:26,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:27,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:27,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:28,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:29,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:29,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:30,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:30,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:31,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:31,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:32,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:32,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:33,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:33,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:34,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:34,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:35,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:35,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:36,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:36,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:37,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:37,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:38,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:38,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:39,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:39,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:40,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:40,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:41,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:41,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:42,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:42,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:43,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:44,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:45,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:45,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:46,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:46,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:47,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:47,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:48,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:48,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:49,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:50,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:51,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:51,003 tasks excute check_plug()
DEBUG 2024-10-16 15:23:52,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:52,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:53,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:53,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:54,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:54,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:55,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:55,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:56,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:56,002 tasks excute check_plug()
DEBUG 2024-10-16 15:23:57,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:57,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:58,000 tasks excute check_plug()
DEBUG 2024-10-16 15:23:59,001 tasks excute check_plug()
DEBUG 2024-10-16 15:23:59,004 tasks excute check_plug()
DEBUG 2024-10-16 15:24:00,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:00,003 tasks excute check_plug()
DEBUG 2024-10-16 15:24:01,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:02,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:02,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:03,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:03,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:04,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:04,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:05,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:06,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:07,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:07,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:08,000 tasks excute check_plug()
DEBUG 2024-10-16 15:24:08,005 tasks excute check_plug()
DEBUG 2024-10-16 15:24:09,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:09,002 tasks excute check_plug()
DEBUG 2024-10-16 15:24:10,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:10,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:11,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:11,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:12,001 tasks excute check_plug()
DEBUG 2024-10-16 15:24:12,003 tasks excute check_plug()
