DEBUG 2024-10-14 14:38:59,045 client messsage arrive
INFO 2024-10-14 14:55:15,683 client mqtt connect
INFO 2024-10-14 14:55:18,177 client mqtt connect
DEBUG 2024-10-14 14:55:23,262 client messsage arrive
DEBUG 2024-10-14 14:55:23,262 client messsage arrive
WARNING 2024-10-14 14:55:23,335 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/Vibration/1/Value
WARNING 2024-10-14 14:55:23,336 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/Vibration/1/Value
WARNING 2024-10-14 14:55:23,338 models excute select() not exist location or device matched name: 2Campus
WARNING 2024-10-14 14:55:23,338 models excute set_network() sensor:False or sensor.attention is False
WARNING 2024-10-14 14:55:23,340 models excute select() not exist location or device matched name: 2Campus
WARNING 2024-10-14 14:55:23,340 models excute set_network() sensor:False or sensor.attention is False
DEBUG 2024-10-14 14:55:40,842 client messsage arrive
INFO 2024-10-14 15:00:49,397 client mqtt connect
INFO 2024-10-14 15:03:17,493 client mqtt connect
INFO 2024-10-14 15:09:38,365 client mqtt connect
INFO 2024-10-14 15:09:41,080 client mqtt connect
INFO 2024-10-14 15:09:51,682 client mqtt connect
INFO 2024-10-14 15:09:54,139 client mqtt connect
INFO 2024-10-14 15:17:21,438 client mqtt connect
INFO 2024-10-14 15:17:48,363 client mqtt connect
INFO 2024-10-14 15:18:30,127 client mqtt connect
INFO 2024-10-14 15:19:31,424 client mqtt connect
INFO 2024-10-14 15:21:03,874 client mqtt connect
INFO 2024-10-14 15:21:21,483 client mqtt connect
INFO 2024-10-14 15:21:43,101 client mqtt connect
INFO 2024-10-14 15:21:50,067 client mqtt connect
INFO 2024-10-14 15:23:22,878 client mqtt connect
INFO 2024-10-14 15:24:32,031 client mqtt connect
INFO 2024-10-14 15:24:39,025 client mqtt connect
DEBUG 2024-10-14 15:25:05,150 client messsage arrive
DEBUG 2024-10-14 15:25:05,150 client messsage arrive
WARNING 2024-10-14 15:25:05,213 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/Vibration/1/Value
WARNING 2024-10-14 15:25:05,219 models excute select() not exist location or device matched name: 2Campus
WARNING 2024-10-14 15:25:05,219 models excute set_network() sensor:False or sensor.attention is False
WARNING 2024-10-14 15:25:05,219 models excute set_network() sensor:False or sensor.attention is False
DEBUG 2024-10-14 15:25:16,999 client messsage arrive
DEBUG 2024-10-14 15:25:20,883 client messsage arrive
DEBUG 2024-10-14 15:25:24,669 client messsage arrive
INFO 2024-10-14 15:30:06,257 client mqtt connect
INFO 2024-10-14 15:30:13,163 client mqtt connect
INFO 2024-10-14 15:30:22,276 client mqtt connect
INFO 2024-10-14 15:30:57,763 client mqtt connect
INFO 2024-10-14 15:31:01,629 client mqtt connect
INFO 2024-10-14 15:31:38,108 client mqtt connect
INFO 2024-10-14 15:32:20,398 client mqtt connect
INFO 2024-10-14 15:32:45,261 client mqtt connect
INFO 2024-10-14 15:32:54,285 client mqtt connect
INFO 2024-10-14 15:33:38,895 client mqtt connect
INFO 2024-10-14 15:34:02,296 client mqtt connect
INFO 2024-10-14 15:34:17,171 client mqtt connect
INFO 2024-10-14 15:34:23,050 client mqtt connect
DEBUG 2024-10-14 15:34:32,431 client messsage arrive
DEBUG 2024-10-14 15:34:35,131 client messsage arrive
DEBUG 2024-10-14 15:34:37,461 client messsage arrive
DEBUG 2024-10-14 15:34:39,587 client messsage arrive
DEBUG 2024-10-14 15:34:41,761 client messsage arrive
DEBUG 2024-10-14 15:34:44,014 client messsage arrive
INFO 2024-10-14 15:37:08,894 client mqtt connect
INFO 2024-10-14 15:37:50,144 client mqtt connect
INFO 2024-10-14 15:37:54,005 client mqtt connect
DEBUG 2024-10-14 15:37:58,642 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/Vibration/1/Value
DEBUG 2024-10-14 15:38:59,598 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/Vibration/1/Value
WARNING 2024-10-14 15:38:59,599 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/Vibration/1/Value
WARNING 2024-10-14 15:38:59,602 models excute select() not exist location or device matched name: 2Campus
WARNING 2024-10-14 15:38:59,602 models excute set_network() sensor:False or sensor.attention is False
DEBUG 2024-10-14 15:39:02,242 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/Vibration/1/Value
DEBUG 2024-10-14 15:39:04,888 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/Vibration/1/Value
INFO 2024-10-14 15:40:33,615 client mqtt connect
INFO 2024-10-14 15:40:41,459 client mqtt connect
INFO 2024-10-14 15:41:39,558 client mqtt connect
INFO 2024-10-14 15:42:00,067 client mqtt connect
INFO 2024-10-14 15:43:36,952 client mqtt connect
INFO 2024-10-14 15:43:51,507 client mqtt connect
INFO 2024-10-14 15:43:57,408 client mqtt connect
INFO 2024-10-14 15:44:04,342 client mqtt connect
INFO 2024-10-14 15:44:12,337 client mqtt connect
INFO 2024-10-14 15:48:04,690 client mqtt connect
INFO 2024-10-14 15:48:08,506 client mqtt connect
INFO 2024-10-14 15:51:14,398 client mqtt connect
INFO 2024-10-14 15:52:56,754 client mqtt connect
INFO 2024-10-14 15:53:00,594 client mqtt connect
INFO 2024-10-14 15:53:18,365 client mqtt connect
INFO 2024-10-14 15:53:27,589 client mqtt connect
DEBUG 2024-10-14 15:53:50,023 client messsage arrive topic:ICCMS/2Campus/SMTLINE/2/1/Value
WARNING 2024-10-14 15:53:50,094 models excute select_network() not exist sensor_network matched topic:ICCMS/2Campus/SMTLINE/2/1/Value
WARNING 2024-10-14 15:53:50,103 models excute set_network() not regeisted network
DEBUG 2024-10-14 15:53:50,114 client messsage status is False topic:ICCMS/2Campus/SMTLINE/2/1/Value
INFO 2024-10-14 15:59:20,454 client mqtt connect
INFO 2024-10-14 16:00:24,545 client mqtt connect
